                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3371,                 3.7297,                 1.2167,                0.39643,                0.25655,                0.25303,                0.19034,                0.76672,                 3.1077,                0.83999,             0.00023382,             0.00023382,             0.00023382
                      2,                 1.1664,                 2.1466,                 1.1108,                0.67941,                0.71989,                0.71017,                0.56801,                0.76006,                 1.5214,                0.89125,             0.00046248,             0.00046248,             0.00046248
                      3,                 1.0386,                 1.5087,                 1.0863,                0.95265,                0.90884,                0.97719,                0.81595,                 0.7043,                0.85586,                0.88664,             0.00068172,             0.00068172,             0.00068172
                      4,                0.98313,                   1.22,                 1.0728,                0.98355,                 0.9801,                0.99135,                0.84575,                0.61908,                0.66641,                0.86827,             0.00067159,             0.00067159,             0.00067159
                      5,                0.98239,                 1.0718,                 1.0693,                0.97817,                0.99472,                0.98995,                 0.8331,                0.65833,                0.61853,                0.88117,             0.00067159,             0.00067159,             0.00067159
                      6,                0.93342,                0.97916,                 1.0579,                0.97262,                0.98379,                0.98971,                0.86286,                0.55134,                0.58983,                0.83806,             0.00065745,             0.00065745,             0.00065745
                      7,                 0.8982,                0.93493,                 1.0321,                0.98664,                0.99067,                0.99123,                0.86052,                0.58824,                 0.5138,                0.84828,             0.00064331,             0.00064331,             0.00064331
                      8,                0.90447,                0.89219,                 1.0429,                0.98218,                0.99643,                0.99004,                0.85208,                0.60444,                0.50414,                0.87256,             0.00062918,             0.00062918,             0.00062918
                      9,                0.87346,                0.87188,                 1.0295,                0.98744,                0.99563,                0.99023,                0.87248,                0.54981,                0.48702,                0.84256,             0.00061504,             0.00061504,             0.00061504
                     10,                 0.8798,                0.84414,                 1.0235,                  0.982,                0.99643,                0.99103,                 0.8597,                0.58404,                 0.4602,                0.83713,              0.0006009,              0.0006009,              0.0006009
                     11,                0.84148,                 0.8177,                 1.0125,                 0.9913,                0.99179,                0.99041,                0.88502,                0.50056,                0.43065,                0.81393,             0.00058677,             0.00058677,             0.00058677
                     12,                0.78406,                0.78326,                0.99278,                0.99141,                0.99513,                 0.9919,                 0.8776,                0.51728,                0.44512,                0.82303,             0.00057263,             0.00057263,             0.00057263
                     13,                0.82656,                0.78647,                 1.0077,                0.98917,                0.99486,                0.99197,                0.87661,                0.52131,                  0.423,                0.83017,             0.00055849,             0.00055849,             0.00055849
                     14,                0.80525,                 0.7789,                0.99456,                0.99313,                0.99643,                0.99211,                0.88545,                0.50398,                0.40573,                0.82862,             0.00054435,             0.00054435,             0.00054435
                     15,                 0.7798,                0.73709,                 0.9821,                0.98948,                0.99603,                0.99301,                0.88746,                0.50921,                0.41089,                0.82405,             0.00053022,             0.00053022,             0.00053022
                     16,                0.78134,                0.74539,                0.98964,                0.99273,                0.99643,                0.99163,                0.87876,                0.53286,                0.39646,                0.83112,             0.00051608,             0.00051608,             0.00051608
                     17,                 0.7616,                0.74008,                0.98383,                  0.992,                0.99518,                0.98935,                0.88002,                0.51252,                0.40451,                0.82092,             0.00050194,             0.00050194,             0.00050194
                     18,                0.76735,                0.72571,                0.97698,                0.99266,                0.99558,                0.99066,                0.87819,                0.51695,                0.38929,                0.82838,              0.0004878,              0.0004878,              0.0004878
                     19,                0.75895,                0.72824,                0.98483,                 0.9921,                0.99643,                0.99197,                0.89161,                0.49439,                0.36847,                0.81478,             0.00047367,             0.00047367,             0.00047367
                     20,                0.75092,                0.70834,                0.96989,                0.99183,                0.99643,                0.99096,                0.88021,                0.51118,                0.37836,                0.82173,             0.00045953,             0.00045953,             0.00045953
                     21,                0.74514,                0.70804,                 0.9739,                0.99275,                0.99513,                0.99038,                0.88089,                0.52205,                0.37326,                0.81533,             0.00044539,             0.00044539,             0.00044539
                     22,                0.72285,                0.68714,                0.96008,                0.99098,                0.99643,                0.98982,                0.88665,                0.48854,                0.35043,                0.81765,             0.00043126,             0.00043126,             0.00043126
                     23,                 0.7092,                0.68275,                0.96247,                0.99296,                0.99528,                0.99017,                0.88495,                0.50689,                0.36301,                0.81703,             0.00041712,             0.00041712,             0.00041712
                     24,                0.70804,                0.67652,                0.96473,                0.99273,                0.99643,                0.99078,                0.88888,                 0.4882,                0.34389,                0.81435,             0.00040298,             0.00040298,             0.00040298
                     25,                0.71437,                 0.6683,                0.96154,                0.99449,                0.99643,                0.99043,                0.88219,                0.51669,                0.35293,                 0.8127,             0.00038884,             0.00038884,             0.00038884
                     26,                0.69968,                0.65334,                0.95908,                0.99179,                0.99643,                0.99056,                0.88929,                0.47297,                0.33975,                0.81144,             0.00037471,             0.00037471,             0.00037471
                     27,                0.68794,                0.64437,                0.94732,                 0.9927,                0.99643,                0.98959,                0.87193,                0.51939,                0.34391,                0.81466,             0.00036057,             0.00036057,             0.00036057
                     28,                 0.6711,                0.63781,                 0.9435,                0.99243,                0.99643,                0.98994,                0.88868,                0.49911,                0.33829,                 0.8134,             0.00034643,             0.00034643,             0.00034643
                     29,                0.66789,                0.64111,                0.94657,                0.99256,                0.99629,                0.99102,                0.89672,                0.47689,                0.33439,                0.81113,              0.0003323,              0.0003323,              0.0003323
                     30,                0.67746,                0.63216,                0.94479,                 0.9929,                0.99568,                0.99138,                0.90197,                 0.4632,                 0.3287,                0.80133,             0.00031816,             0.00031816,             0.00031816
                     31,                0.65948,                0.61763,                0.93616,                 0.9928,                0.99406,                0.99056,                0.90138,                0.45621,                0.31831,                0.80348,             0.00030402,             0.00030402,             0.00030402
                     32,                 0.6524,                0.61586,                0.93517,                0.99439,                0.99643,                0.99062,                0.89628,                0.47192,                0.32258,                0.80541,             0.00028988,             0.00028988,             0.00028988
                     33,                0.64233,                0.61036,                0.93621,                0.99318,                0.99643,                0.98993,                0.89106,                0.46649,                0.31651,                0.80371,             0.00027575,             0.00027575,             0.00027575
                     34,                0.64735,                0.61579,                0.93699,                0.99398,                0.99643,                0.99074,                0.89804,                0.46254,                0.31076,                0.80109,             0.00026161,             0.00026161,             0.00026161
                     35,                0.63768,                0.61435,                0.93733,                 0.9922,                0.99643,                0.98918,                 0.8927,                0.47026,                0.32022,                0.79994,             0.00024747,             0.00024747,             0.00024747
                     36,                0.63695,                0.61046,                0.93492,                0.99076,                0.99643,                0.98989,                0.89636,                0.45867,                0.30987,                0.79957,             0.00023334,             0.00023334,             0.00023334
                     37,                0.62238,                 0.5807,                0.92555,                0.99356,                0.99643,                0.99002,                0.89661,                0.46488,                0.30695,                0.80112,              0.0002192,              0.0002192,              0.0002192
                     38,                0.61949,                0.58257,                0.92626,                0.99055,                0.99643,                 0.9901,                0.89985,                0.45169,                0.30364,                0.79701,             0.00020506,             0.00020506,             0.00020506
                     39,                0.61598,                0.59377,                0.92349,                0.99301,                0.99643,                0.99002,                0.89056,                0.47561,                0.30708,                0.80282,             0.00019092,             0.00019092,             0.00019092
                     40,                0.59914,                0.58158,                 0.9204,                0.99251,                0.99643,                0.99052,                0.89705,                0.44986,                0.29762,                0.79701,             0.00017679,             0.00017679,             0.00017679
                     41,                0.56114,                0.39353,                0.90721,                0.99375,                0.99643,                0.99039,                0.88874,                0.46718,                0.30554,                0.80041,             0.00016265,             0.00016265,             0.00016265
                     42,                0.57074,                0.38872,                0.91286,                0.99224,                0.99643,                0.99021,                0.89769,                0.45838,                0.30502,                0.79948,             0.00014851,             0.00014851,             0.00014851
                     43,                 0.5508,                0.37935,                0.89436,                 0.9944,                0.99562,                0.98986,                 0.8978,                0.45411,                0.29677,                0.79789,             0.00013437,             0.00013437,             0.00013437
                     44,                0.53769,                0.37711,                  0.899,                0.99288,                0.99643,                 0.9901,                0.90255,                0.44784,                0.29691,                0.79711,             0.00012024,             0.00012024,             0.00012024
                     45,                0.52319,                 0.3666,                0.88569,                0.99334,                0.99579,                0.98976,                0.90442,                0.44221,                 0.2874,                0.79624,              0.0001061,              0.0001061,              0.0001061
                     46,                0.52259,                0.36277,                 0.8908,                0.99409,                0.99545,                0.98977,                0.90332,                0.44994,                0.28978,                0.79624,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.51972,                0.35544,                0.88576,                0.99384,                0.99643,                0.99005,                0.90474,                0.43697,                0.28372,                 0.7937,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.50762,                0.35087,                0.87795,                 0.9941,                0.99643,                0.99008,                0.90259,                0.43933,                0.28328,                0.79366,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.50155,                0.35669,                0.87647,                 0.9941,                0.99643,                0.98988,                0.90552,                0.43861,                0.27808,                0.79229,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.49772,                 0.3505,                0.87341,                0.99428,                0.99643,                0.98985,                0.90201,                0.44063,                0.27922,                0.79331,             3.5414e-05,             3.5414e-05,             3.5414e-05
